movie_name;genre;year;timeMin;imdb;metascore;votes;us_grossMillions
Forrest Gump;Drama, Romance;1994;142;88;820;1713406;33025
Gone Girl;Drama, Mystery, Thriller;2014;149;81;790;810207;16777
The Last Picture Show;Drama, Romance;1971;118;80;930;39888;2913
The Matrix;Action, Sci-Fi;1999;136;87;730;1596077;17148
Goldfinger;Action, Adventure, Thriller;1964;110;77;870;165646;5108
Saving Private Ryan;Drama, War;1998;169;86;910;1176586;21654
Guardians of the Galaxy;Action, Adventure, Comedy;2014;121;80;760;1006170;33318
The Hangover;Comedy;2009;100;77;730;694821;27732
The Departed;Crime, Drama, Thriller;2006;151;85;850;1133976;13238
Prisoners;Crime, Drama, Mystery;2013;153;81;700;563234;610
Se7en;Crime, Drama, Mystery;1995;127;86;650;1367611;10013
The Prestige;Drama, Mystery, Sci-Fi;2006;130;85;660;1125902;5309
Schindler's List;Biography, Drama, History;1993;195;89;940;1156877;969
Skyfall;Action, Adventure, Thriller;2012;143;77;810;612358;30436
Taxi Driver;Crime, Drama;1976;114;83;940;684185;2826
Howl's Moving Castle;Animation, Adventure, Family;2004;119;82;800;303971;471
Deadpool;Action, Adventure, Comedy;2016;108;80;650;866405;36307
Good Will Hunting;Drama, Romance;1997;126;83;700;815807;13843
Guardians of the Galaxy Vol. 2;Action, Adventure, Comedy;2017;136;76;670;533023;38981
The Shining;Drama, Horror;1980;146;84;660;845684;4402
Shutter Island;Mystery, Thriller;2010;138;81;630;1067631;12801
Gladiator;Action, Adventure, Drama;2000;155;85;670;1279865;18771
The Silence of the Lambs;Crime, Drama, Thriller;1991;118;86;850;1203989;13074
Bohemian Rhapsody;Biography, Drama, Music;2018;134;80;490;418126;21643
American Beauty;Drama;1999;122;83;840;1031370;1301
Léon: The Professional;Action, Crime, Drama;1994;110;85;640;983997;195
Star Wars: Episode IV - A New Hope;Action, Adventure, Fantasy;1977;121;86;900;1182819;32274
The Good, the Bad and the Ugly;Western;1966;178;88;900;657247;61
Harry Potter and the Deathly Hallows: Part 2;Adventure, Drama, Fantasy;2011;130;81;850;726805;38101
